"CompanyCode","Product","ProductType","ProductDescription","BaseUnit","VolumeUnit","NetWeight","GrossWeight","IsMarkedForDeletion","ProcessDate","MeasureunitID","MeasureunitID","Plant","ToleranceValue","District","IsGeneric","StandardPrice","SupplierAccountGroup","ValidityEndDate","MATERIALTYPEID","MATERIALGROUP","IsMarkedForDeletion"
5700,1012121,,"POTE SER TOTAL con fruta x 174gr - Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                  "
5700,1012122,,"POTE SER TROPICAL x 160 gr - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                        "
5700,1012123,,"POTE SER CRUNCH BERRIES x 160 gr - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                  "
5700,1012132,,"POTE YSS FIRME VAINILLA x 190 gr - ISAAC",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                    "
5700,1012134,,"POTE YSS FIRME FRUTILLA x 190 gr - ISAAC",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                                    "
5700,1012136,,"POTE YSS FIRME VAINILLA x 190 gr - Duplicacion de sku - Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                             "
5700,1012138,,"POTE YSS FIRME FRUTILLA x 190 gr - Duplicacion de sku - Impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                             "
5700,1012145,,"POTE CASANCREM ligero x 200 gr - TALLARIN (proceso yogur) - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                         "
5700,1012151,,"POTE LSC - Batido FRUTILLA x 140 gr - IGUAZU (622)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                          "
5700,1012152,,"POTE LSC - Batido DURAZNO x 140 gr - IGUAZU (623)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,1012153,,"POTE LSC - Batido ARANDANO x 140 gr - IGUAZU (624)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                          "
5700,1012154,,"POTE LSC - Descremado FRUTILLA x 140 gr - FITITO (609)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,1012155,,"POTE LSC - Descremado DURAZNO x 140 gr - FITITO (610)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                       "
5700,1012156,,"POTE LSC - Descremado ARANDANO x 140 gr - FITITO (611)",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                      "
5700,1012166,,"POTE YSS Batido Adulto FRUTILLA x 140 gr - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                          "
5700,1012167,,"POTE YSS Batido Adulto DURAZNO x 140 gr - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                           "
5700,1012168,,"POTE YSS Batido Adulto ARANDANO x 140 gr - impreso",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                          "
5700,1012177,,"POTE SER COLCHON FRUTILLA-CHIA x 160 gr - JMAF",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
5700,1012178,,"POTE SER COLCHON MORA-JENGIBRE x 160 gr - JMAF",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
5700,1012179,,"POTE SER COLCHON KIWI-TE VERDE x 160 gr - JMAF",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
5700,1012194,,"POTE YSS NATURAL Endulzado x 190 gr - Impreso - duplicado",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                   "
5700,1012195,,"POTE YSS - ZUCARITAS x 166 gr - Impreso - duplicado",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                         "
5700,1012199,,"POTE YOGURISIMO ENERGIA TOTAL 3 CEREALES X 180",,,,,,02/05/2023,,,,,,,,,,,,"                                                                                              "
